strain	accession	continent	country
A/Alabama/13/2016	EPI_ISL_238718	North America 	 United States 
A/Alabama/15/2016	EPI_ISL_239561	North America 	 United States 
A/Alaska/109/2015	EPI_ISL_203401	North America 	 United States 
A/Alaska/112/2015	EPI_ISL_201217	North America 	 United States 
A/Alaska/128/2015	EPI_ISL_206140	North America 	 United States 
A/Alaska/14/2014	EPI_ISL_367740	North America 	 United States 
A/Alaska/151/2015	EPI_ISL_205163	North America 	 United States 
A/Alaska/160/2015	EPI_ISL_200725	North America 	 United States 
A/Alaska/168/2015	EPI_ISL_203545	North America 	 United States 
A/Alaska/173/2015	EPI_ISL_206152	North America 	 United States 
A/Alaska/194/2015	EPI_ISL_206153	North America 	 United States 
A/Alaska/205/2015	EPI_ISL_207405	North America 	 United States 
A/Alaska/229/2015	EPI_ISL_202881	North America 	 United States 
A/Alaska/235/2015	EPI_ISL_202887	North America 	 United States 
A/Alaska/255/2015	EPI_ISL_201295	North America 	 United States 
A/Alaska/31/2015	EPI_ISL_251861	North America 	 United States
A/Alaska/36/2016	EPI_ISL_244669	North America 	 United States 
A/Alaska/43/2015	EPI_ISL_198220	North America 	 United States 
A/Alaska/48/2015	EPI_ISL_200669	North America 	 United States 
A/Alaska/82/2015	EPI_ISL_197761	North America 	 United States 
A/Alaska/91/2015	EPI_ISL_197775	North America 	 United States 
A/Alberta/RV2372/2015	EPI_ISL_202809	North America 	 Canada
A/Alberta/RV2403/2015	EPI_ISL_208612	North America 	 Canada
A/Arizona/13/2015	EPI_ISL_197756	North America 	 United States 
A/Arizona/19/2015	EPI_ISL_203555	North America 	 United States 
A/Arizona/23/2016	EPI_ISL_215766	North America 	 United States 
A/Arizona/56/2016	EPI_ISL_223993	North America 	 United States 
A/Arkansas/02/2016	EPI_ISL_212958	North America 	 United States 
A/Arkansas/04/2014	EPI_ISL_249806	North America 	 United States
A/Arkansas/12/2014	EPI_ISL_250273	North America 	 United States
A/Bethesda/P0053/2015	EPI_ISL_253757	North America 	 United States
A/British Columbia/RV2358/2015	EPI_ISL_202413	North America 	 Canada
A/California/106/2015	EPI_ISL_205665	North America 	 United States 
A/California/11/2016	EPI_ISL_212964	North America 	 United States 
A/California/118/2015	EPI_ISL_207016	North America 	 United States 
A/California/121/2015	EPI_ISL_208601	North America 	 United States 
A/California/133/2015	EPI_ISL_214525	North America 	 United States 
A/California/15/2014	EPI_ISL_167915	North America 	 United States 
A/California/154/2016	EPI_ISL_239166	North America 	 United States 
A/California/16/2015	EPI_ISL_251360	North America 	 United States
A/California/17/2014	EPI_ISL_167917	North America 	 United States 
A/California/198/2016	EPI_ISL_242752	North America 	 United States 
A/California/209/2016	EPI_ISL_244689	North America 	 United States 
A/California/24/2016	EPI_ISL_212969	North America 	 United States 
A/California/74/2016	EPI_ISL_222008	North America 	 United States 
A/California/93/2015	EPI_ISL_202935	North America 	 United States 
A/California/95/2015	EPI_ISL_202937	North America 	 United States 
A/Columbia/P0033/2014	EPI_ISL_253820	North America 	 United States
A/Columbia/P0090/2015	EPI_ISL_253810	North America 	 United States
A/Connecticut/20/2016	EPI_ISL_225098	North America 	 United States 
A/Connecticut/21/2014	EPI_ISL_249815	North America 	 United States
A/Connecticut/44/2016	EPI_ISL_248009	North America 	 United States 
A/Costa Rica/1172/2016	EPI_ISL_249023	North America 	 Costa Rica
A/Costa Rica/2536/2016	EPI_ISL_238648	North America 	 Costa Rica
A/Costa Rica/4582/2015	EPI_ISL_212056	North America 	 Costa Rica
A/Costa Rica/7141/2015	EPI_ISL_212057	North America 	 Costa Rica
A/Costa Rica/9930/2015	EPI_ISL_212159	North America 	 Costa Rica
A/Delaware/12/2015	EPI_ISL_176558	North America 	 United States 
A/Delaware/13/2015	EPI_ISL_251328	North America 	 United States
A/Delaware/43/2015	EPI_ISL_206160	North America 	 United States 
A/Dominica/672/2015	EPI_ISL_194947	North America 	 Dominica
A/Dominica/8432/2016	EPI_ISL_240327	North America 	 Dominica
A/Dominican Republic/9441/2015	EPI_ISL_215255	North America 	 Dominican Republic
A/Florida/06/2016	EPI_ISL_219168	North America 	 United States 
A/Florida/09/2016	EPI_ISL_213982	North America 	 United States 
A/Florida/11/2015	EPI_ISL_251228	North America 	 United States
A/Florida/15/2016	EPI_ISL_213984	North America 	 United States 
A/Florida/18/2015	EPI_ISL_251284	North America 	 United States
A/Florida/20/2015	EPI_ISL_236777	North America 	 United States
A/Florida/39/2014	EPI_ISL_167414	North America 	 United States 
A/Florida/65/2014	EPI_ISL_250965	North America 	 United States
A/Florida/68/2016	EPI_ISL_230348	North America 	 United States 
A/Florida/70/2015	EPI_ISL_205246	North America 	 United States 
A/Florida/76/2014	EPI_ISL_251004	North America 	 United States
A/Florida/78/2016	EPI_ISL_237330	North America 	 United States 
A/Florida/88/2016	EPI_ISL_239178	North America 	 United States 
A/Florida/89/2015	EPI_ISL_207026	North America 	 United States 
A/Florida/91/2016	EPI_ISL_239691	North America 	 United States 
A/Florida/92/2016	EPI_ISL_239692	North America 	 United States 
A/Gainesville/09/2016	EPI_ISL_258586	North America 	 United States
A/Georgia/24/2014	EPI_ISL_250955	North America 	 United States
A/Georgia/52/2016	EPI_ISL_224017	North America 	 United States 
A/Georgia/54/2016	EPI_ISL_225043	North America 	 United States 
A/Guadeloupe/7129/2016	EPI_ISL_233431	North America 	 Guadeloupe
A/Guatemala/15/2015	EPI_ISL_197555	North America 	 Guatemala
A/Guatemala/4084/2015	EPI_ISL_212985	North America 	 Guatemala
A/Guatemala/4392/2016	EPI_ISL_233438	North America 	 Guatemala
A/Guatemala/5211/2014	EPI_ISL_172535	North America 	 Guatemala
A/Hawaii/04/2016	EPI_ISL_219160	North America 	 United States 
A/Hawaii/103/2016	EPI_ISL_242760	North America 	 United States 
A/Hawaii/16/2016	EPI_ISL_219211	North America 	 United States 
A/Hawaii/64/2015	EPI_ISL_203564	North America 	 United States 
A/Hawaii/67/2015	EPI_ISL_202110	North America 	 United States 
A/Hawaii/74/2015	EPI_ISL_202921	North America 	 United States 
A/Hawaii/75/2016	EPI_ISL_237314	North America 	 United States 
A/Hawaii/76/2016	EPI_ISL_237313	North America 	 United States 
A/Hawaii/80/2015	EPI_ISL_212161	North America 	 United States 
A/Idaho/01/2015	EPI_ISL_174142	North America 	 United States 
A/Idaho/14/2016	EPI_ISL_219270	North America 	 United States 
A/Illinois/45/2016	EPI_ISL_237344	North America 	 United States 
A/Illinois/50/2016	EPI_ISL_247995	North America 	 United States 
A/Illinois/58/2016	EPI_ISL_253566	North America 	 United States 
A/Indiana/29/2015	EPI_ISL_206121	North America 	 United States 
A/Indiana/30/2016	EPI_ISL_219260	North America 	 United States 
A/Iowa/10/2016	EPI_ISL_220365	North America 	 United States 
A/Iowa/23/2016	EPI_ISL_234047	North America 	 United States 
A/Iowa/33/2016	EPI_ISL_239186	North America 	 United States 
A/Iowa/37/2015	EPI_ISL_197546	North America 	 United States 
A/Iowa/50/2015	EPI_ISL_202088	North America 	 United States 
A/Iowa/54/2015	EPI_ISL_203414	North America 	 United States 
A/Kansas/08/2015	EPI_ISL_251290	North America 	 United States
A/Kentucky/01/2015	EPI_ISL_251260	North America 	 United States
A/Kentucky/21/2014	EPI_ISL_251121	North America 	 United States
A/Louisiana/08/2015	EPI_ISL_211703	North America 	 United States 
A/Louisiana/12/2016	EPI_ISL_220372	North America 	 United States 
A/Louisiana/13/2014	EPI_ISL_250219	North America 	 United States
A/Louisiana/13/2016	EPI_ISL_220373	North America 	 United States 
A/Maine/04/2014	EPI_ISL_167411	North America 	 United States 
A/Managua/8779.06/2016	EPI_ISL_238659	North America 	 Nicaragua
A/Maryland/01/2015	EPI_ISL_236786	North America 	 United States
A/Maryland/12/2015	EPI_ISL_251666	North America 	 United States
A/Maryland/18/2015	EPI_ISL_202425	North America 	 United States 
A/Massachusetts/05/2015	EPI_ISL_176537	North America 	 United States 
A/Massachusetts/09/2015	EPI_ISL_251289	North America 	 United States
A/Massachusetts/15/2015	EPI_ISL_181072	North America 	 United States 
A/Mexico/1402/2015	EPI_ISL_197532	North America 	 Mexico
A/Mexico/2377/2015	EPI_ISL_219153	North America 	 Mexico
A/Mexico/836/2014	EPI_ISL_172786	North America 	 Mexico
A/Michigan/09/2014	EPI_ISL_249784	North America 	 United States
A/Michigan/105/2016	EPI_ISL_237332	North America 	 United States 
A/Michigan/24/2016	EPI_ISL_215260	North America 	 United States 
A/Michigan/29/2016	EPI_ISL_214538	North America 	 United States 
A/Michigan/58/2015	EPI_ISL_202903	North America 	 United States 
A/Minnesota/22/2014	EPI_ISL_249770	North America 	 United States
A/Minnesota/25/2015	EPI_ISL_251750	North America 	 United States
A/Minnesota/43/2015	EPI_ISL_201306	North America 	 United States 
A/Minnesota/72/2016	EPI_ISL_237318	North America 	 United States 
A/Minnesota/83/2016	EPI_ISL_258291	North America 	 United States 
A/Minnesota/85/2016	EPI_ISL_241631	North America 	 United States 
A/Mississippi/12/2014	EPI_ISL_250362	North America 	 United States
A/Missouri/11/2015	EPI_ISL_237206	North America 	 United States
A/Montana/11/2014	EPI_ISL_250289	North America 	 United States
A/Montana/19/2015	EPI_ISL_200750	North America 	 United States 
A/Montana/21/2015	EPI_ISL_200752	North America 	 United States 
A/Montana/24/2015	EPI_ISL_203418	North America 	 United States 
A/Montana/27/2014	EPI_ISL_251033	North America 	 United States
A/Montana/32/2015	EPI_ISL_201283	North America 	 United States 
A/Montana/62/2016	EPI_ISL_240184	North America 	 United States 
A/Nebraska/10/2016	EPI_ISL_214542	North America 	 United States 
A/Nebraska/15/2014	EPI_ISL_251007	North America 	 United States
A/Nevada/18/2014	EPI_ISL_250343	North America 	 United States
A/Nevada/21/2016	EPI_ISL_219273	North America 	 United States 
A/Nevada/22/2016	EPI_ISL_219238	North America 	 United States 
A/New Hampshire/32/2014	EPI_ISL_250956	North America 	 United States
A/New Jersey/28/2016	EPI_ISL_244791	North America 	 United States 
A/New Jersey/52/2015	EPI_ISL_201254	North America 	 United States 
A/New Mexico/06/2016	EPI_ISL_215641	North America 	 United States 
A/New Mexico/54/2016	EPI_ISL_240847	North America 	 United States 
A/New York/03/2016	EPI_ISL_211916	North America 	 United States 
A/New York/100/2016	EPI_ISL_238679	North America 	 United States 
A/New York/111/2016	EPI_ISL_249062	North America 	 United States 
A/New York/112/2016	EPI_ISL_241558	North America 	 United States 
A/New York/76/2015	EPI_ISL_211918	North America 	 United States 
A/New York/96/2016	EPI_ISL_235536	North America 	 United States 
A/New York/A-WC-LVD-16-001/2016	EPI_ISL_293361	North America 	 United States
A/New York/WC-LVD-14-102/2014	EPI_ISL_235692	North America 	 United States
A/New York/WC-LVD-15-012/2015	EPI_ISL_235644	North America 	 United States
A/New York/WC-LVD-15-031/2015	EPI_ISL_235667	North America 	 United States
A/New York/WC-LVD-15-039/2015	EPI_ISL_235674	North America 	 United States
A/New York/WC-LVD-15-044/2015	EPI_ISL_235679	North America 	 United States
A/Nicaragua/4877_07/2014	EPI_ISL_279367	North America 	 Nicaragua
A/Nicaragua/5627_04/2014	EPI_ISL_279366	North America 	 Nicaragua
A/Nicaragua/6200_06/2014	EPI_ISL_279372	North America 	 Nicaragua
A/Nicaragua/6530_19/2014	EPI_ISL_279371	North America 	 Nicaragua
A/Nicaragua/6597_07/2014	EPI_ISL_279376	North America 	 Nicaragua
A/Nicaragua/6826_06/2014	EPI_ISL_279355	North America 	 Nicaragua
A/Nicaragua/6831.07/2016	EPI_ISL_257874	North America 	 Nicaragua
A/North Carolina/05/2015	EPI_ISL_251159	North America 	 United States
A/North Carolina/16/2015	EPI_ISL_251580	North America 	 United States
A/North Carolina/41/2016	EPI_ISL_225060	North America 	 United States 
A/North Dakota/05/2015	EPI_ISL_251270	North America 	 United States
A/Northwest Territories/RV2421/2015	EPI_ISL_207440	North America 	 Canada
A/Ohio/04/2015	EPI_ISL_251287	North America 	 United States
A/Ohio/20/2016	EPI_ISL_224046	North America 	 United States 
A/Ohio/27/2016	EPI_ISL_232044	North America 	 United States 
A/Oklahoma/06/2015	EPI_ISL_251339	North America 	 United States
A/Oklahoma/18/2016	EPI_ISL_240224	North America 	 United States 
A/Ontario/RV3236/2016	EPI_ISL_239893	North America 	 Canada 
A/Ontario/RV3606/2014	EPI_ISL_171398	North America 	 Canada
A/Oregon/05/2015	EPI_ISL_251658	North America 	 United States
A/Oregon/05/2016	EPI_ISL_215797	North America 	 United States 
A/Oregon/21/2016	EPI_ISL_239209	North America 	 United States 
A/Oregon/24/2015	EPI_ISL_201292	North America 	 United States 
A/Pennsylvania/10/2015	EPI_ISL_251166	North America 	 United States
A/Pennsylvania/113/2016	EPI_ISL_249088	North America 	 United States 
A/Pennsylvania/137/2016	EPI_ISL_289309	North America 	 United States 
A/Pennsylvania/20/2016	EPI_ISL_219241	North America 	 United States 
A/Pennsylvania/28/2014	EPI_ISL_286142	North America 	 United States 
A/Puerto Rico/35/2015	EPI_ISL_206222	North America 	 Puerto Rico
A/Puerto Rico/37/2015	EPI_ISL_206224	North America 	 Puerto Rico
A/Puerto Rico/44/2015	EPI_ISL_206229	North America 	 Puerto Rico
A/Quebec/RV3242/2016	EPI_ISL_244890	North America 	 Canada
A/Rhode Island/15/2015	EPI_ISL_251702	North America 	 United States
A/Rhode Island/29/2016	EPI_ISL_235112	North America 	 United States 
A/South Carolina/07/2015	EPI_ISL_251318	North America 	 United States
A/South Dakota/01/2015	EPI_ISL_251163	North America 	 United States
A/South Dakota/27/2016	EPI_ISL_239211	North America 	 United States 
A/South Dakota/40/2015	EPI_ISL_206132	North America 	 United States 
A/Tennessee/02/2016	EPI_ISL_214551	North America 	 United States 
A/Tennessee/09/2015	EPI_ISL_251407	North America 	 United States
A/Tennessee/15/2014	EPI_ISL_251030	North America 	 United States
A/Tennessee/18/2015	EPI_ISL_200727	North America 	 United States 
A/Tennessee/41/2016	EPI_ISL_253622	North America 	 United States 
A/Texas/158/2016	EPI_ISL_232102	North America 	 United States 
A/Texas/170/2016	EPI_ISL_230319	North America 	 United States 
A/Texas/201/2016	EPI_ISL_241573	North America 	 United States 
A/Texas/28/2015	EPI_ISL_237203	North America 	 United States
A/Texas/30/2016	EPI_ISL_214554	North America 	 United States 
A/Texas/42/2016	EPI_ISL_215645	North America 	 United States 
A/Texas/83/2016	EPI_ISL_220296	North America 	 United States 
A/Texas/84/2014	EPI_ISL_251154	North America 	 United States
A/Utah/12/2016	EPI_ISL_214013	North America 	 United States 
A/Utah/33/2014	EPI_ISL_251027	North America 	 United States
A/Vermont/16/2016	EPI_ISL_223190	North America 	 United States 
A/Vermont/32/2016	EPI_ISL_238715	North America 	 United States 
A/Vermont/34/2016	EPI_ISL_247989	North America 	 United States 
A/Virginia/03/2015	EPI_ISL_251190	North America 	 United States
A/Virginia/42/2014	EPI_ISL_250995	North America 	 United States
A/Virginia/63/2016	EPI_ISL_239731	North America 	 United States 
A/Virginia/69/2016	EPI_ISL_253572	North America 	 United States 
A/Washington/120/2016	EPI_ISL_286325	North America 	 United States 
A/Washington/128/2016	EPI_ISL_286332	North America 	 United States 
A/Washington/13/2015	EPI_ISL_251347	North America 	 United States
A/Washington/144/2016	EPI_ISL_286363	North America 	 United States 
A/Washington/153/2016	EPI_ISL_286365	North America 	 United States 
A/Washington/35/2015	EPI_ISL_251664	North America 	 United States
A/Washington/45/2015	EPI_ISL_202841	North America 	 United States 
A/Washington/46/2014	EPI_ISL_251115	North America 	 United States
A/Washington/49/2015	EPI_ISL_202101	North America 	 United States 
A/Washington/55/2016	EPI_ISL_222075	North America 	 United States 
A/Washington/60/2015	EPI_ISL_206122	North America 	 United States 
A/Washington/61/2015	EPI_ISL_205628	North America 	 United States 
A/Washington/87/2016	EPI_ISL_248366	North America 	 United States 
A/West Virginia/15/2016	EPI_ISL_248300	North America 	 United States 
A/Wisconsin/75/2014	EPI_ISL_251097	North America 	 United States
A/Wisconsin/77/2016	EPI_ISL_234055	North America 	 United States 
A/Wisconsin/82/2015	EPI_ISL_205256	North America 	 United States 
A/Wisconsin/86/2015	EPI_ISL_202431	North America 	 United States 
A/Wisconsin/95/2016	EPI_ISL_248362	North America 	 United States 
A/Brisbane/100/2014	EPI_ISL_288214	Oceania	Australia
A/Brisbane/1000/2015	EPI_ISL_288050	Oceania	Australia
A/Brisbane/1004/2015	EPI_ISL_287941	Oceania	Australia
A/Brisbane/1004/2016	EPI_ISL_289085	Oceania	Australia
A/Brisbane/1005/2015	EPI_ISL_287951	Oceania	Australia
A/Brisbane/1008/2016	EPI_ISL_289055	Oceania	Australia
A/Brisbane/115/2015	EPI_ISL_288042	Oceania	Australia
A/Brisbane/119/2015	EPI_ISL_288043	Oceania	Australia
A/Brisbane/12/2015	EPI_ISL_288148	Oceania	Australia
A/Brisbane/127/2015	EPI_ISL_287976	Oceania	Australia
A/Brisbane/134/2015	EPI_ISL_287981	Oceania	Australia
A/Brisbane/140/2015	EPI_ISL_287983	Oceania	Australia
A/Brisbane/141/2015	EPI_ISL_287984	Oceania	Australia
A/Brisbane/158/2016	EPI_ISL_289082	Oceania	Australia
A/Brisbane/172/2015	EPI_ISL_287854	Oceania	Australia
A/Brisbane/179/2015	EPI_ISL_287830	Oceania	Australia
A/Brisbane/188/2015	EPI_ISL_287811	Oceania	Australia
A/Brisbane/197/2015	EPI_ISL_287813	Oceania	Australia
A/Brisbane/22/2015	EPI_ISL_288146	Oceania	Australia
A/Brisbane/225/2016	EPI_ISL_288857	Oceania	Australia
A/Brisbane/231/2016	EPI_ISL_288858	Oceania	Australia
A/Brisbane/273/2016	EPI_ISL_288853	Oceania	Australia
A/Brisbane/285/2016	EPI_ISL_288854	Oceania	Australia
A/Brisbane/287/2016	EPI_ISL_288855	Oceania	Australia
A/Brisbane/290/2016	EPI_ISL_288847	Oceania	Australia
A/Brisbane/291/2016	EPI_ISL_288856	Oceania	Australia
A/Brisbane/296/2016	EPI_ISL_288831	Oceania	Australia
A/Brisbane/298/2016	EPI_ISL_288832	Oceania	Australia
A/Brisbane/300/2016	EPI_ISL_288834	Oceania	Australia
A/Brisbane/318/2016	EPI_ISL_269294	Oceania	Australia
A/Brisbane/324/2016	EPI_ISL_288819	Oceania	Australia
A/Brisbane/40/2015	EPI_ISL_288139	Oceania	Australia
A/Brisbane/43/2014	EPI_ISL_288219	Oceania	Australia
A/Brisbane/43/2015	EPI_ISL_288123	Oceania	Australia
A/Brisbane/66/2016	EPI_ISL_289133	Oceania	Australia
A/Brisbane/68/2016	EPI_ISL_289134	Oceania	Australia
A/Brisbane/71/2015	EPI_ISL_288078	Oceania	Australia
A/Brisbane/79/2015	EPI_ISL_288081	Oceania	Australia
A/Brisbane/80/2015	EPI_ISL_288082	Oceania	Australia
A/Canberra/1001/2016	EPI_ISL_289080	Oceania	Australia
A/Canberra/13/2015	EPI_ISL_288108	Oceania	Australia
A/Canberra/2/2014	EPI_ISL_288222	Oceania	Australia
A/Canberra/31/2014	EPI_ISL_288195	Oceania	Australia
A/Canberra/80/2016	EPI_ISL_288848	Oceania	Australia
A/Canberra/93/2016	EPI_ISL_288849	Oceania	Australia
A/Christchurch/505/2016	EPI_ISL_237834	Oceania	New Zealand
A/Darwin/1000/2015	EPI_ISL_287834	Oceania	Australia
A/Darwin/1006/2016	EPI_ISL_289029	Oceania	Australia
A/Dunedin/3/2016	EPI_ISL_232818	Oceania	New Zealand
A/Fiji/02/2015	EPI_ISL_194166	Oceania	Fiji
A/FIJI/1/2014	EPI_ISL_166142	Oceania	Fiji
A/Fiji/7/2015	EPI_ISL_219049	Oceania	Fiji
A/NEW CALEDONIA/71/2014	EPI_ISL_168901	Oceania	New Caledonia
A/New Zealand/0581/2016	EPI_ISL_235060	Oceania	New Zealand
A/New Zealand/0635/2016	EPI_ISL_235061	Oceania	New Zealand
A/New Zealand/0678/2016	EPI_ISL_235062	Oceania	New Zealand
A/New Zealand/0777/2016	EPI_ISL_240114	Oceania	New Zealand
A/New Zealand/0779/2016	EPI_ISL_240115	Oceania	New Zealand
A/New Zealand/0783/2016	EPI_ISL_240116	Oceania	New Zealand
A/New Zealand/0788/2016	EPI_ISL_240117	Oceania	New Zealand
A/New Zealand/0800/2016	EPI_ISL_240118	Oceania	New Zealand
A/New Zealand/0831/2016	EPI_ISL_235066	Oceania	New Zealand
A/New Zealand/0879/2016	EPI_ISL_235070	Oceania	New Zealand
A/New Zealand/0888/2016	EPI_ISL_237369	Oceania	New Zealand
A/New Zealand/0889/2016	EPI_ISL_240123	Oceania	New Zealand
A/New Zealand/0977/2016	EPI_ISL_240321	Oceania	New Zealand
A/New Zealand/1001/2016	EPI_ISL_240319	Oceania	New Zealand
A/New Zealand/1014/2016	EPI_ISL_240315	Oceania	New Zealand
A/New Zealand/1017/2016	EPI_ISL_240314	Oceania	New Zealand
A/New Zealand/1118/2016	EPI_ISL_240311	Oceania	New Zealand
A/New Zealand/1152/2016	EPI_ISL_240310	Oceania	New Zealand
A/New Zealand/1165/2016	EPI_ISL_240308	Oceania	New Zealand
A/New Zealand/1933/2016	EPI_ISL_235064	Oceania	New Zealand
A/New Zealand/2308/2016	EPI_ISL_240126	Oceania	New Zealand
A/New Zealand/2336/2016	EPI_ISL_240127	Oceania	New Zealand
A/New Zealand/2343/2016	EPI_ISL_240128	Oceania	New Zealand
A/New Zealand/2369/2016	EPI_ISL_244826	Oceania	New Zealand
A/New Zealand/2374/2016	EPI_ISL_240131	Oceania	New Zealand
A/New Zealand/2378/2016	EPI_ISL_240132	Oceania	New Zealand
A/New Zealand/2409/2016	EPI_ISL_240138	Oceania	New Zealand
A/New Zealand/2413/2016	EPI_ISL_240140	Oceania	New Zealand
A/New Zealand/431/2015	EPI_ISL_197501	Oceania	New Zealand
A/New Zealand/476/2015	EPI_ISL_197270	Oceania	New Zealand
A/New Zealand/519/2015	EPI_ISL_197263	Oceania	New Zealand
A/New Zealand/536/2015	EPI_ISL_197524	Oceania	New Zealand
A/New Zealand/562/2015	EPI_ISL_197508	Oceania	New Zealand
A/New Zealand/686/2015	EPI_ISL_197525	Oceania	New Zealand
A/Newcastle/1002/2015	EPI_ISL_287990	Oceania	Australia
A/Newcastle/187/2016	EPI_ISL_289031	Oceania	Australia
A/Newcastle/20/2014	EPI_ISL_288225	Oceania	Australia
A/Newcastle/22/2014	EPI_ISL_164979	Oceania	Australia
A/Newcastle/25/2014	EPI_ISL_288201	Oceania	Australia
A/Newcastle/30/2016	EPI_ISL_227637	Oceania	Australia
A/Newcastle/48/2016	EPI_ISL_255496	Oceania	Australia
A/NEWCASTLE/54/2014	EPI_ISL_168907	Oceania	Australia
A/Newcastle/63/2014	EPI_ISL_288188	Oceania	Australia
A/Newcastle/64/2015	EPI_ISL_226255	Oceania	Australia
A/Newcastle/78/2016	EPI_ISL_289091	Oceania	Australia
A/Newcastle/83/2016	EPI_ISL_237880	Oceania	Australia
A/Palau/6759/2014	EPI_ISL_164404	Oceania	Palau
A/Palau/6775/2014	EPI_ISL_167865	Oceania	Palau
A/Perth/113/2015	EPI_ISL_287949	Oceania	Australia
A/Perth/114/2015	EPI_ISL_287932	Oceania	Australia
A/Perth/116/2015	EPI_ISL_287933	Oceania	Australia
A/Perth/15/2015	EPI_ISL_288085	Oceania	Australia
A/Perth/22/2016	EPI_ISL_289090	Oceania	Australia
A/Perth/26/2015	EPI_ISL_288054	Oceania	Australia
A/Perth/31/2015	EPI_ISL_288059	Oceania	Australia
A/Perth/43/2015	EPI_ISL_288045	Oceania	Australia
A/Perth/50/2015	EPI_ISL_287963	Oceania	Australia
A/Perth/53/2015	EPI_ISL_287965	Oceania	Australia
A/Perth/69/2015	EPI_ISL_287945	Oceania	Australia
A/Perth/76/2015	EPI_ISL_287862	Oceania	Australia
A/Perth/78/2016	EPI_ISL_289065	Oceania	Australia
A/Perth/92/2015	EPI_ISL_287882	Oceania	Australia
A/Perth/97/2015	EPI_ISL_287948	Oceania	Australia
A/Perth/99/2016	EPI_ISL_234117	Oceania	Australia
A/South Auckland/23/2016	EPI_ISL_232811	Oceania	New Zealand
A/South Australia/1/2015	EPI_ISL_288164	Oceania	Australia
A/South Australia/1001/2015	EPI_ISL_288038	Oceania	Australia
A/South Australia/1002/2014	EPI_ISL_288204	Oceania	Australia
A/South Australia/1005/2014	EPI_ISL_288208	Oceania	Australia
A/South Australia/1005/2015	EPI_ISL_288036	Oceania	Australia
A/South Australia/1006/2015	EPI_ISL_287860	Oceania	Australia
A/South Australia/1017/2015	EPI_ISL_287891	Oceania	Australia
A/South Australia/1021/2015	EPI_ISL_287925	Oceania	Australia
A/South Australia/1023/2015	EPI_ISL_287928	Oceania	Australia
A/South Australia/1032/2014	EPI_ISL_288177	Oceania	Australia
A/South Australia/106/2016	EPI_ISL_289049	Oceania	Australia
A/South Australia/115/2016	EPI_ISL_289035	Oceania	Australia
A/South Australia/117/2016	EPI_ISL_289026	Oceania	Australia
A/South Australia/118/2016	EPI_ISL_289051	Oceania	Australia
A/South Australia/12/2015	EPI_ISL_288156	Oceania	Australia
A/South Australia/125/2016	EPI_ISL_289030	Oceania	Australia
A/South Australia/132/2015	EPI_ISL_287924	Oceania	Australia
A/South Australia/137/2016	EPI_ISL_288839	Oceania	Australia
A/South Australia/143/2016	EPI_ISL_288842	Oceania	Australia
A/South Australia/147/2016	EPI_ISL_288843	Oceania	Australia
A/South Australia/163/2015	EPI_ISL_287839	Oceania	Australia
A/South Australia/164/2016	EPI_ISL_288828	Oceania	Australia
A/South Australia/167/2015	EPI_ISL_287841	Oceania	Australia
A/South Australia/172/2015	EPI_ISL_287821	Oceania	Australia
A/South Australia/18/2016	EPI_ISL_289132	Oceania	Australia
A/South Australia/21/2015	EPI_ISL_205160	Oceania	Australia
A/South Australia/27/2016	EPI_ISL_289125	Oceania	Australia
A/South Australia/31/2016	EPI_ISL_289138	Oceania	Australia
A/South Australia/34/2015	EPI_ISL_288137	Oceania	Australia
A/South Australia/36/2015	EPI_ISL_288131	Oceania	Australia
A/South Australia/37/2015	EPI_ISL_288132	Oceania	Australia
A/South Australia/38/2016	EPI_ISL_289128	Oceania	Australia
A/South Australia/51/2016	EPI_ISL_289115	Oceania	Australia
A/South Australia/55/2016	EPI_ISL_289118	Oceania	Australia
A/South Australia/60/2015	EPI_ISL_288109	Oceania	Australia
A/South Australia/9/2015	EPI_ISL_288165	Oceania	Australia
A/Sydney/10/2015	EPI_ISL_288141	Oceania	Australia
A/Sydney/1004/2014	EPI_ISL_288187	Oceania	Australia
A/Sydney/1005/2014	EPI_ISL_288200	Oceania	Australia
A/Sydney/1005/2015	EPI_ISL_288052	Oceania	Australia
A/Sydney/1007/2014	EPI_ISL_288199	Oceania	Australia
A/Sydney/101/2016	EPI_ISL_289126	Oceania	Australia
A/Sydney/1010/2015	EPI_ISL_287956	Oceania	Australia
A/Sydney/1011/2015	EPI_ISL_287935	Oceania	Australia
A/Sydney/1019/2015	EPI_ISL_287896	Oceania	Australia
A/Sydney/1020/2015	EPI_ISL_287939	Oceania	Australia
A/Sydney/1024/2015	EPI_ISL_287927	Oceania	Australia
A/Sydney/1030/2015	EPI_ISL_287961	Oceania	Australia
A/Sydney/1042/2015	EPI_ISL_287846	Oceania	Australia
A/Sydney/1043/2015	EPI_ISL_287844	Oceania	Australia
A/Sydney/1065/2016	EPI_ISL_289058	Oceania	Australia
A/Sydney/12/2015	EPI_ISL_288136	Oceania	Australia
A/Sydney/133/2016	EPI_ISL_255504	Oceania	Australia
A/Sydney/156/2014	EPI_ISL_288175	Oceania	Australia
A/Sydney/18/2015	EPI_ISL_288143	Oceania	Australia
A/Sydney/241/2015	EPI_ISL_287823	Oceania	Australia
A/Sydney/266/2016	EPI_ISL_289052	Oceania	Australia
A/Sydney/29/2016	EPI_ISL_289139	Oceania	Australia
